ID,Source_row,Chinese_name_as_published,Scientific_name_as_published,Chinese_name_COL_China_2026,Scientific_name_COL_China_2026,Taxon_match_method,Taxon_match_note
5,10,阔褶蛙,Ranalatouchii,阔褶水蛙,Sylvirana latouchii,中文名模糊,"中文名疑有出入,按名录“阔褶水蛙”匹配,请复核"
12,22,莽山角瘰,Xenophrys mangshanensis,莽山角蟾,Xenophrys mangshanensis,中文名模糊,"中文名疑有出入,按名录“莽山角蟾”匹配,请复核"
16,38,紫灰锦蛇,Elaphe porphyracea,,,种未收录-按属填分类,"名录中存在种加词相同的“紫灰蛇 Oreocryptophis porphyraceus”,但原属Elaphe仍在名录、两属非已知拆分对,请人工确认"
28,61,方花小头蛇,Oligodon bellus,,,种未收录-按属填分类,"名录中存在种加词相同的“方花蛇 Archelaphe bella”,但原属Oligodon仍在名录、两属非已知拆分对,请人工确认"
29,62,四川华蝮,Sinovipera sichuanensis,四川竹叶青蛇,Trimeresurus sichuanensis,核定异名,华蝮属已并入竹叶青蛇属
30,63,双团棘胸蛙,Paa yunnanensis,云南棘蛙,Gynandropaa yunnanensis,核定异名,"双团棘胸蛙(旧名)现为云南棘蛙,请复核"
33,66,湖蛙,,,,未匹配,
34,72,崇安地蜥,Platyplacopus sylvaticus,崇安草蜥,Takydromus sylvaticus,种加词推断,"按种加词推断为名录中该名的异名对应种,请复核"
36,74,丽纹蛇,Calliophis macclellandi,丽纹华珊瑚蛇(中华珊瑚蛇),Sinomicrurus macclellandi,种加词推断,"按种加词推断为名录中该名的异名对应种,请复核"
38,77,秦巴拟小鲵,Pseudohynobius tsinpaensis,,,种未收录-按属填分类,"名录中存在种加词相同的“秦巴巴鲵 Liua tsinpaensis”,但原属Pseudohynobius仍在名录、两属非已知拆分对,请人工确认"
45,94,布氏泛树蛙,Polypedates mutus,无声囊泛树蛙,Polypedates mutus,拉丁名精确,"中文名与拉丁名在名录中指向不同物种,请复核"
46,100,仙琴水蛙,Nidirana daunchina,仙琴蛙,Nidirana daunchina,中文名模糊,"中文名疑有出入,按名录“仙琴蛙”匹配,请复核"
50,114,花尾斜鳞蛇,Pseudoxenodon stejnegeri striaticaudatus,纹尾斜鳞蛇,Pseudoxenodon stejnegeri,亚种归并至种,按三名法亚种归并至种
69,182,疣粒角蟾,Megophrys tuberogrannulus,棘疣角蟾,Boulenophrys tuberogranulatus,核定异名,原名拼写含双写笔误
71,196,细白环蛇,Lycodon subcinctus,,,种未收录-按属填分类,
82,246,翡翠攀蜥,Japalura iadina,翡翠攀蜥,Diploderma iadinum,种加词推断,"按种加词推断为名录中该名的异名对应种,请复核"
83,247,帆背攀蜥,Japalura vela,帆背攀蜥,Diploderma vela,种加词推断,"按种加词推断为名录中该名的异名对应种,请复核"
95,268,崇安地蜥,Platyplacopus sylvaticus,崇安草蜥,Takydromus sylvaticus,种加词推断,"按种加词推断为名录中该名的异名对应种,请复核"
111,325,台湾地蜥,Platyplacopus kuehnei,古氏草蜥(古纳氏草蜥),Takydromus kuehnei,种加词推断,"按种加词推断为名录中该名的异名对应种,请复核"
112,326,蟒蛇,Python molurus bivittatus,,,种未收录-按属填分类,
119,356,侧条跳树蛙,Chirixalus vittatus,,,种未收录-按属填分类,"名录中存在种加词相同的“侧条树蛙 Rohanixalus vittatus”,但原属Chirixalus仍在名录、两属非已知拆分对,请人工确认"
141,418,菱斑小头蛇,Oligodon bivirgatus,双线小头蛇,Oligodon bivirgatus,拉丁名精确,"中文名与拉丁名在名录中指向不同物种,请复核"
161,452,米仓山龙蜥,Japalura micangshanensis,米仓山攀蜥,Diploderma micangshanense,种加词推断,"按种加词推断为名录中该名的异名对应种,请复核"
162,453,广西棱皮树蛙,Theloderma kwangsiensis,,,种未收录-按属填分类,
164,455,马来棱皮树蛙,Theloderma asperum,白斑棱皮树蛙,Theloderma albopunctatum,核定异名,"中国的马来棱皮树蛙记录现多归白斑棱皮树蛙,请复核"
182,507,大眼斜鳞蛇福建亚种,Pseudoxenodon macrops fukienensis,大眼斜鳞蛇,Pseudoxenodon macrops,亚种归并至种,按三名法亚种归并至种
185,517,峨眉地蜥,Platyplacopus intermedius,峨眉草蜥,Takydromus intermedius,种加词推断,"按种加词推断为名录中该名的异名对应种,请复核"
206,564,方花丽斑蛇,Maculophis bellus,方花蛇,Archelaphe bella,核定异名,方花丽斑蛇为方花蛇旧称
209,575,灰腹绿蛇,Rhadinophis frenatus,灰腹绿锦蛇,Gonyosoma frenatum,中文名模糊,"中文名疑有出入,按名录“灰腹绿锦蛇”匹配,请复核"
215,588,伊江巨蜥,Varanus irrawadicus,,,种未收录-按属填分类,
221,600,快步麻蜥指名亚种,Eremias velox velox,快步麻蜥,Eremias velox,亚种归并至种,按三名法亚种归并至种
247,997,,Kurixalus inexpectatus,,,种未收录-按属填分类,
277,1302,宋氏掌突蟾,Leptobrachella sungi,,,种未收录-按属填分类,
283,1349,宽口肥螈,Pachytriton labiatus,无斑瘰螈,Paramesotriton labiatus,种加词推断,"按种加词推断为名录中该名的异名对应种,请复核"
289,1443,黑斑维贾蛙,Wijayarana melasma,吻斑雨林蛙,Wjayarana melasma,种加词推断,"按种加词推断为名录中该名的异名对应种,请复核"
295,1530,广西疣背树蛙,Theloderma kwangsiense,,,种未收录-按属填分类,
300,1593,高山舌突蛙,Liurana alpine,高山舌突蛙,Liurana alpina,种加词推断,"按种加词推断为名录中该名的异名对应种,请复核"
