Source_row,Chinese_name_raw,Scientific_name_raw,Province_raw,Verdict,Reason,Source_citation
2,多疣棘蛙,Paa verrucospinosa,云南,事件表,省级新纪录事件（1省）,"胡健生,陈明勇,董永华.中国两栖动物新纪录——多疣棘蛙的再证实[J].四川动物,2005,(3):340-341+441."
3,崇安湍蛙,Amolops chunganensis,四川,排除,区系/多样性调查类文献的物种清单行，非新纪录事件,"Yun-He Wu and Fang Yan and Bryan L. Stuart and Elizabeth Prendini and Chatmongkon Suwannapoom and Hollis A. Dahn and Bao-Lin Zhang and Hong-Xia Cai and Yong-Biao Xu and Ke Jiang and Hong-Man Chen and Alan R. Lemmon and Emily Moriarty Lemmon and Christopher J. Raxworthy and Nikolai L. Orlov and Robert W. Murphy and Jing Che (2023). A combined approach of mitochondrial DNA and anchored nuclear phylogenomics sheds light on unrecognized diversity, phylogeny, and historical biogeography of the torrent frogs, genus Amolops (Anura: Ranidae) Molecular Phylogenetics and Evolution https://doi.org/10.1016/j.ympev.2020.106789"
4,梅花山角蟾,Boulenophrys meihuamontis,福建,新种表,新种描述，转入 CHNR_new_species,"罗萧,黄俊恺,周承源,等.中国福建发现布角蟾属一新种(两栖纲:角蟾科)[J].野生动物学报,2026,47(2):295-308."
5,大蟾蜍,Bufo bufo,新疆,事件表,省级新纪录事件（1省）,"时磊,周永恒,原洪.中国蟾蜍一新纪录——大蟾蜍[J].动物分类学报,2005,(2):444-445."
6,金江湍蛙,Amolops jinjiangensis,云南,排除,区系/多样性调查类文献的物种清单行，非新纪录事件,"Yun-He Wu and Fang Yan and Bryan L. Stuart and Elizabeth Prendini and Chatmongkon Suwannapoom and Hollis A. Dahn and Bao-Lin Zhang and Hong-Xia Cai and Yong-Biao Xu and Ke Jiang and Hong-Man Chen and Alan R. Lemmon and Emily Moriarty Lemmon and Christopher J. Raxworthy and Nikolai L. Orlov and Robert W. Murphy and Jing Che (2023). A combined approach of mitochondrial DNA and anchored nuclear phylogenomics sheds light on unrecognized diversity, phylogeny, and historical biogeography of the torrent frogs, genus Amolops (Anura: Ranidae) Molecular Phylogenetics and Evolution https://doi.org/10.1016/j.ympev.2020.106789"
7,河口湍蛙,Amolops shihaitaoi,云南,新种表,新种描述，转入 CHNR_new_species,"Jian Wang and Jing Li and Lingyun Du and Mian Hou and Guohua Yu (2022). A cryptic species of the Amolops ricketti species group (Anura, Ranidae) from China–Vietnam border regions ZooKeys, 1112, 139–159 https://doi.org/10.3897/zookeys.1112.82551"
8,河口湍蛙,Amolops shihaitaoi,广西,事件表,省级新纪录事件（1省）,"Jian Wang and Jing Li and Lingyun Du and Mian Hou and Guohua Yu (2022). A cryptic species of the Amolops ricketti species group (Anura, Ranidae) from China–Vietnam border regions ZooKeys, 1112, 139–159 https://doi.org/10.3897/zookeys.1112.82551"
9,合江棘蛙,Paarobertingeri,云南,事件表,省级新纪录事件（1省）,"李操,张中东,温涛,等.云南省两栖动物一新纪录——合江棘蛙[J].四川动物,2009,28(6):923-924."
10,阔褶蛙,Ranalatouchii,云南,事件表,省级新纪录事件（1省）,"Xue, H. F., Jiang, K., & Rao, D. Q. (2009). A new record of amphibian in Yunnan Province: Rana latouchii. Sichuan Journal of Zoology, 28(6), 924–924."
11,棕点湍蛙,Amolops loloensis,云南,事件表,省级新纪录事件（1省）,"胡健生,陈明勇,吴竹刚.云南省两栖动物新纪录——棕点湍蛙[J].四川动物,2003,(3):148."
12,奥氏越南姬蛙,Vietnamophryne orlovi,云南,事件表,省级新纪录事件（1省）,"吴东益、刘小龙、刘春雨、史兴惠、杨泽鹏、施德山、袁智勇 (2022). 云南省两栖类新属纪录—越南姬蛙属 西南林业大学学报(自然科学), 42(4), 155–160 https://doi.org/10.11929/j.swfu.202108048"
13,菱斑小头蛇,Oligodon catenata,云南,事件表,省级新纪录事件（1省）,"何疆海、饶定齐 (2009). 云南省蛇类新记录———菱斑小头蛇 林业调查规划, 34(5), 67-68 https://doi.org/10.3969/j.issn.1671-3168.2009.05.016"
14,白刺湍蛙,Amolops albispinus,,终审:A3 排除-无省份且无坐标,记录类型无法判定（原表未标注且引用无线索）,"Jian Wang and Jing Li and Lingyun Du and Mian Hou and Guohua Yu (2022). A cryptic species of the Amolops ricketti species group (Anura, Ranidae) from China–Vietnam border regions ZooKeys, 1112, 139–159 https://doi.org/10.3897/zookeys.1112.82551"
15,中华湍蛙,Amolops sinensis,,终审:A3 排除-无省份且无坐标,记录类型无法判定（原表未标注且引用无线索）,"Jian Wang and Jing Li and Lingyun Du and Mian Hou and Guohua Yu (2022). A cryptic species of the Amolops ricketti species group (Anura, Ranidae) from China–Vietnam border regions ZooKeys, 1112, 139–159 https://doi.org/10.3897/zookeys.1112.82551"
16,,Amolops tonkinensis,谅山,终审:C 排除-记录地为国外省区,记录类型无法判定（原表未标注且引用无线索）,"Jian Wang and Jing Li and Lingyun Du and Mian Hou and Guohua Yu (2022). A cryptic species of the Amolops ricketti species group (Anura, Ranidae) from China–Vietnam border regions ZooKeys, 1112, 139–159 https://doi.org/10.3897/zookeys.1112.82551"
17,河口湍蛙,Amolops shihaitaoi,云南,新种表,新种描述，转入 CHNR_new_species,"Jian Wang and Jing Li and Lingyun Du and Mian Hou and Guohua Yu (2022). A cryptic species of the Amolops ricketti species group (Anura, Ranidae) from China–Vietnam border regions ZooKeys, 1112, 139–159 https://doi.org/10.3897/zookeys.1112.82551"
18,逸仙湍蛙,Amolops yatseni,,终审:A3 排除-无省份且无坐标,记录类型无法判定（原表未标注且引用无线索）,"Jian Wang and Jing Li and Lingyun Du and Mian Hou and Guohua Yu (2022). A cryptic species of the Amolops ricketti species group (Anura, Ranidae) from China–Vietnam border regions ZooKeys, 1112, 139–159 https://doi.org/10.3897/zookeys.1112.82551"
19,东北林蛙,Rana dybowskii,内蒙古,事件表,省级新纪录事件（1省）,"张晓丽、毕俊怀、张晓东、马颖伟 (2017). 内蒙古东北林蛙Rana dybowskii一新分布 内蒙古师范大学学报(自然科学汉文版), 46(5), 715-717 https://doi.org/10.3969/j.issn.1001-8735.2017.05.025"
20,黑背白环蛇,Lycodon ruhstrati,北京,事件表,省级新纪录事件（1省）,"王宁、郑光美 (2005). 北京市爬行动物新纪录———黑背白环蛇 四川动物, 24(4), 489-489"
21,黑耳水蛙,Hylarana nigrotympanica,广东,事件表,省级新纪录事件（1省）,"徐剑,邹佩贞,温彩燕,等.南岭地区两栖动物区系的研究[J].中山大学学报(自然科学版),2000,(S3):78-81."
22,莽山角瘰,Xenophrys mangshanensis,广东,事件表,省级新纪录事件（1省）,"徐剑,邹佩贞,温彩燕,等.南岭地区两栖动物区系的研究[J].中山大学学报(自然科学版),2000,(S3):78-82."
23,小棘蛙,Quasipaa exilispinosa,广东,事件表,省级新纪录事件（1省）,"徐剑,邹佩贞,温彩燕,等.南岭地区两栖动物区系的研究[J].中山大学学报(自然科学版),2000,(S3):78-83."
24,顾莵角蟾,Boulenophrys gutu,湖南,新种表,新种描述，转入 CHNR_new_species,"匡代勇、石胜超 (2025). 南岳衡山发现两栖动物新物种——顾莵角蟾 林业与生态, 18 https://doi.org/10.13552/j.cnki.lyyst.2025.11.002"
25,衡山角蟾,Boulenophrys hengshanensis,湖南,终审:A4 排除(建议)-伴随物种记录,新种描述文献中的伴随物种记录，非明确新纪录事件,"匡代勇、石胜超 (2025). 南岳衡山发现两栖动物新物种——顾莵角蟾 林业与生态, 18 https://doi.org/10.13552/j.cnki.lyyst.2025.11.002"
26,南岭睑虎,Goniurosaurus varius,广东,新种表,新种描述，转入 CHNR_new_species,"Shuo Qi and L. Lee Grismer and Zhi-Tong Lyu and Liang Zhang and Pi-Peng Li and Ying-Yong Wang (2020). A definition of the Goniurosaurus yingdeensis group (Squamata, Eublepharidae) with the description of a new species ZooKeys, 986, 127–155 https://doi.org/10.3897/zookeys.986.47989"
