Source_row,Chinese_name,Scientific_name,Province_stated,Longitude,Latitude,Matched_boundary_name,Screen_status,Screen_note
55,昭觉林蛙,Rana chaochiaoensis,广西,115.58,39.84,北京,省份不一致,坐标落点省份与标注省份不一致，请核查
61,方花小头蛇,Oligodon bellus,广西,115.58,39.84,北京,省份不一致,坐标落点省份与标注省份不一致，请核查
74,丽纹蛇,Calliophis macclellandi,河南,114.75,31.5167,湖北,省份不一致,坐标落点省份与标注省份不一致，请核查
107,棕黑腹链蛇,Amphiesma sauteri,湖北,108.0,27.5,贵州,省份不一致,坐标落点省份与标注省份不一致，请核查
178,阿尼桥湍蛙,Amolops aniqiaoensis,西藏,102.95,29.65,四川,省份不一致,坐标落点省份与标注省份不一致，请核查
229,北部湾蜓蜥,Sphenomorphus tonkinensis,海南,117.5,26.5,福建,省份不一致,坐标落点省份与标注省份不一致，请核查
399,陈氏肥螈,Pachytriton cheni,安徽,118.85,30.15,浙江,省份不一致,坐标落点省份与标注省份不一致，请核查
446,双全白环蛇,Lycodon fasciatus,湖南,110.4833,29.8333,湖北,省份不一致,坐标落点省份与标注省份不一致，请核查
447,颈槽蛇,Rhabdophis nuchalis,湖南,110.4833,29.8333,湖北,省份不一致,坐标落点省份与标注省份不一致，请核查
552,黔北角蟾,Boulenophrys qianbeiensis,四川,104.75,27.8833,云南,省份不一致,坐标落点省份与标注省份不一致，请核查
580,红点齿蟾,Oreolalax rhodostigmatus,云南,105.6667,28.3853,贵州,省份不一致,坐标落点省份与标注省份不一致，请核查
689,十万大山掌突蟾,Leptobrachella shiwandashanensis,广东,107.85,21.95,广西,省份不一致,坐标落点省份与标注省份不一致，请核查
751,合征姬蛙,Microhyla mixtura,安徽,115.5,31.2,湖北,省份不一致,坐标落点省份与标注省份不一致，请核查
752,饰纹姬蛙,Microhyla fissipes,安徽,115.5,31.2,湖北,省份不一致,坐标落点省份与标注省份不一致，请核查
770,香港瘰螈,Paramesotriton hongkongensis,香港、贵州,112.0,24.0,广东,省份不一致,坐标落点省份与标注省份不一致，请核查
835,宽脊瘰螈,Tylototriton broadoridgus,湖南,110.15,29.8167,湖北,省份不一致,坐标落点省份与标注省份不一致，请核查
846,宽脊瘰螈,Tylototriton broadoridgus,湖南,110.15,29.8167,湖北,省份不一致,坐标落点省份与标注省份不一致，请核查
1029,宜章臭蛙,Odorrana yizhangensis,湖南,113.0,25.0,广东,省份不一致,坐标落点省份与标注省份不一致，请核查
1470,宽头短腿蟾,Brachytarsophrys platyparietus,云南,102.5,26.5,四川,省份不一致,坐标落点省份与标注省份不一致，请核查
1479,宽头短腿蟾,Brachytarsophrys platyparietus,云南,102.5,26.5,四川,省份不一致,坐标落点省份与标注省份不一致，请核查
1538,,Diploderma sp. nov. 6,云南,101.5,27.5,四川,省份不一致,坐标落点省份与标注省份不一致，请核查
1857,帆背龙蜥,Diploderma vela,西藏,100.5,23.5,云南,省份不一致,坐标落点省份与标注省份不一致，请核查
1858,巴塘龙蜥,Diploderma batangense,西藏,100.5,27.5,云南,省份不一致,坐标落点省份与标注省份不一致，请核查
1863,中华蟾蜍,Bufo gargarizans,西藏,101.0,26.5,云南,省份不一致,坐标落点省份与标注省份不一致，请核查
1936,乌苏里蝮,Gloydius ussuriensis,黑龙江,125.0,51.0,内蒙古,省份不一致,坐标落点省份与标注省份不一致，请核查
1974,腹斑掌突蟾,Leptolalax ventripunctatus,贵州,105.8389,28.0,四川,省份不一致,坐标落点省份与标注省份不一致，请核查
2025,宝兴齿蟾,Scutiger boulengeri,甘肃、西藏,100.0,34.0,青海,省份不一致,坐标落点省份与标注省份不一致，请核查
2049,腹斑掌突蟾,Leptolalax ventripunctatus,贵州,105.8389,28.1097,四川,省份不一致,坐标落点省份与标注省份不一致，请核查
2053,莽山角蟾,Xenophrys mangshanensis,江西,117.5,26.5,福建,省份不一致,坐标落点省份与标注省份不一致，请核查
2066,福建钝头蛇,Pareas stanleyi,广东,112.9917,24.9506,湖南,省份不一致,坐标落点省份与标注省份不一致，请核查
2096,双全白环蛇,Lycodon fasciatus,广东,112.9322,24.925,湖南,省份不一致,坐标落点省份与标注省份不一致，请核查
2134,百花锦蛇,Elaphe moellendorffi,贵州,107.25,25.0667,广西,省份不一致,坐标落点省份与标注省份不一致，请核查
2139,百花锦蛇,Elaphe moellendorffi,贵州,107.25,25.0667,广西,省份不一致,坐标落点省份与标注省份不一致，请核查
2141,百花锦蛇,Elaphe moellendorffi,贵州,107.25,25.1,广西,省份不一致,坐标落点省份与标注省份不一致，请核查
2142,百花锦蛇,Elaphe moellendorffi,贵州,107.2667,25.1,广西,省份不一致,坐标落点省份与标注省份不一致，请核查
2147,百花锦蛇,Elaphe moellendorffi,贵州,107.2667,25.1,广西,省份不一致,坐标落点省份与标注省份不一致，请核查
2167,崇安湍蛙,Amolops chunganensis,湖北,110.6667,30.0667,湖南,省份不一致,坐标落点省份与标注省份不一致，请核查
