Source_row,Species_key,Source_citation,Source_publication_year,Resolution_status
554,Acanthosaura liui,"Shuo Liu and Mian Hou and Mingzhong Mo and Dingqi Rao (2020). A new species of the genus Acanthosaura (Squamata, Agamidae) from Yunnan, China, with comments on its conservation status ZooKeys, 959, 113–135 https://doi.org/10.3897/zookeys.959.54601",2020,removed_duplicate_new_species_row
572,Acanthosaura tongbiguanensis,"Shuo Liu and Dingqi Rao (2019). A new species of the genus Acanthosaura from Yunnan, China (Squamata, Agamidae) ZooKeys, 888, 105–132 https://doi.org/10.3897/zookeys.888.38491",2019,removed_duplicate_new_species_row
1670,Achalinus hunanensis,"Shun Ma and Sheng-Chao Shi and Sun-Jun Xiang and Fu Shu and Jian-Ping Jiang (2023). A new species of Achalinus Peters, 1869 (Squamata, Xenodermidae) from Hunan Province, China Huaping Nature https://doi.org/10.3897/zookeys.1166.103055",2023,removed_duplicate_new_species_row
1677,Achalinus nanshanensis,"Hui Li and Le-Qiang Zhu and Bei Xiao and Jie Huang and Shao-Wu Wu and Li-Xun Yang and Zhi-Qiang Zhang and Xiao-Yang Mo (2023). A new species of the genus Achalinus (Squamata, Xenodermatidae) from southwest Hunan Province, China Life Science https://doi.org/10.3897/zookeys.1189.112784",2023,removed_duplicate_new_species_row
1882,Achalinus ningshanensis,"Yuhao Xu and Shun Ma and Bo Cai and Diancheng Yang and Tianyou Zhang and Tianxuan Gu and Fengcheng Zhu and Song Huang and Lifang Peng (2024). Taxonomic Revision of Ningshan Odd-Scaled Snake, Achalinus ningshanensis (Serpentes, Xenodermidae), with Description of a New Subspecies from Western China Animals, 14, 3425 https://doi.org/10.3390/ani14233425",2024,removed_duplicate_new_species_row
1672,Achalinus sheni,"Shun Ma and Yu-Hao Xu and Shuo Qi and Ying-Yong Wang and Shan-Shan Tang and Song Huang and Jian-Ping Jiang (2023). Discovery of a new cryptic Achalinus Peters, 1869 (Serpentes, Xenodermidae) species from Hunan Province, China 9 https://doi.org/10.3897/zookeys.1181.109462",2023,removed_duplicate_new_species_row
1116,Alcalus sp. nov.,"Zhongbin YU and Kai WANG and Tianen CHEN and Ling LI and Felista Kasyoka KILUNDA and Haipeng ZHAO and Yayong WU and Shenpin YANG and Zhengpan DUAN and Anru ZUO and Dingcan ZHANG and Robert W. MURPHY and Yunhe WU and Jing CHE (2025). First Record of the Genus Alcalus (Anura, Ceratobatrachidae) and Describe a New Species from Yunnan, China Asian Herpetological Research, 16(2), 160–168 https://doi.org/10.3724/ahr.2095-0357.2024.0035",2025,removed_duplicate_new_species_row
217,Amolops ailao,"Shangjing Tang and Tao Sun and Shuo Liu and Sangdi Luo and Guohua Yu and Lina Du (2023). A new species of cascade frog (Anura: Ranidae: Amolops) from central Yunnan, China Zoological Letters, 9, 15 https://doi.org/10.1186/s40851-023-00214-9",2023,removed_duplicate_new_species_row
1620,Amolops amoropalamus,"Masafumi Matsui (1986). Three New Species of Amolops from Borneo (Amphibia, Anura, Ranidae) Copeia, 1986(3), 623-630 https://doi.org/1444943",1986,removed_duplicate_new_species_row
1791,Amolops chaochin,"Ke Jiang and Jin-Long Ren and Zhi-Tong Lyu and Dan Wang and Zeng Wang and Ke Lv and Jia-Wei Wu and Jia-Tang Li (2021). Taxonomic revision of Amolops chunganensis (Pope, 1929) (Amphibia: Anura) and description of a new species from southwestern China, with discussion on Amolops monticola group and assignment of species groups of the genus Amolops Life Science https://doi.org/10.24272/j.issn.2095-8137.2021.107",2021,removed_duplicate_new_species_row
1572,Amolops chunganensis,"Ke Jiang and Jin-Long Ren and Zhi-Tong Lyu and Dan Wang and Zeng Wang and Ke Lv and Jia-Wei Wu and Jia-Tang Li (2021). Taxonomic revision of Amolops chunganensis (Pope, 1929) (Amphibia: Anura) and description of a new species from southwestern China, with discussion on Amolops monticola group and assignment of species groups of the genus Amolops Life Science https://doi.org/10.24272/j.issn.2095-8137.2021.107",2021,removed_duplicate_new_species_row
2228,Amolops dafangensis,"Shi-Ze Li and Jing Liu and Xiao-Cong Ke and Gang Cheng and Bin Wang (2023). A new species of Amolops (Amphibia, Anura, Ranidae) from Guizhou Province, China Food Science https://doi.org/10.3897/zookeys.1189.115621",2023,removed_duplicate_new_species_row
491,Amolops mengdingensis,"GUOHUA YU, ZHENGJUN WU & JUNXING YANG (2019). A new species of the Amolops monticola group (Anura: Ranidae) from southwestern Yunnan, China Zootaxa, 4577(3), 548–560 https://doi.org/10.11646/zootaxa.4577.3.8",2019,removed_duplicate_new_species_row
887,Amolops mengdingensis,"GUOHUA YU, ZHENGJUN WU & JUNXING YANG (2019). A new species of the Amolops monticola group (Anura: Ranidae) from southwestern Yunnan, China Zootaxa, 4577(3), 548–560 https://doi.org/10.11646/zootaxa.4577.3.8",2019,removed_duplicate_new_species_row
1967,Amolops sangzhiensis,,2024,removed_duplicate_new_species_row
17,Amolops shihaitaoi,"Jian Wang and Jing Li and Lingyun Du and Mian Hou and Guohua Yu (2022). A cryptic species of the Amolops ricketti species group (Anura, Ranidae) from China–Vietnam border regions ZooKeys, 1112, 139–159 https://doi.org/10.3897/zookeys.1112.82551",2022,removed_duplicate_new_species_row
583,Amolops yangi,"Yun-He Wu and Zhong-Bin Yu and Chen-Qi Lu and Yin-Peng Zhang and Wen-Jie Dong and Xiao-Long Liu and Felista Kasyoka Kilunda and Yun Xiong and Yun-Fang Jiang and Hong Ouyang and Zhong-Xiong Fu and Yun-Biao He and Zhi-Yong Yuan and Jing Che (2024). A new species of the genus Amolops (Amphibia: Ranidae) and the first national record of Amolops vitreus from China Vertebrate Zoology, 74, 343–357 https://doi.org/10.3897/vz.74.e108013",2024,removed_duplicate_new_species_row
585,Amolops yangi,"Yun-He Wu and Zhong-Bin Yu and Chen-Qi Lu and Yin-Peng Zhang and Wen-Jie Dong and Xiao-Long Liu and Felista Kasyoka Kilunda and Yun Xiong and Yun-Fang Jiang and Hong Ouyang and Zhong-Xiong Fu and Yun-Biao He and Zhi-Yong Yuan and Jing Che (2024). A new species of the genus Amolops (Amphibia: Ranidae) and the first national record of Amolops vitreus from China Vertebrate Zoology, 74, 343–357 https://doi.org/10.3897/vz.74.e108013",2024,removed_duplicate_new_species_row
587,Amolops yangi,"Yun-He Wu and Zhong-Bin Yu and Chen-Qi Lu and Yin-Peng Zhang and Wen-Jie Dong and Xiao-Long Liu and Felista Kasyoka Kilunda and Yun Xiong and Yun-Fang Jiang and Hong Ouyang and Zhong-Xiong Fu and Yun-Biao He and Zhi-Yong Yuan and Jing Che (2024). A new species of the genus Amolops (Amphibia: Ranidae) and the first national record of Amolops vitreus from China Vertebrate Zoology, 74, 343–357 https://doi.org/10.3897/vz.74.e108013",2024,removed_duplicate_new_species_row
595,Amolops yangi,"Yun-He Wu and Zhong-Bin Yu and Chen-Qi Lu and Yin-Peng Zhang and Wen-Jie Dong and Xiao-Long Liu and Felista Kasyoka Kilunda and Yun Xiong and Yun-Fang Jiang and Hong Ouyang and Zhong-Xiong Fu and Yun-Biao He and Zhi-Yong Yuan and Jing Che (2024). A new species of the genus Amolops (Amphibia: Ranidae) and the first national record of Amolops vitreus from China Vertebrate Zoology, 74, 343–357 https://doi.org/10.3897/vz.74.e108013",2024,removed_duplicate_new_species_row
598,Batrachuperus daochengensis,Fu & Zeng (2008). A new species of the genus Batrachuperus (Urodela: Hynobiidae) from Southwestern China National Natural Science https://doi.org/10.24272/j.issn.2095-8137.2020.129,2008,removed_duplicate_new_species_row
894,Boulenophrys chishuiensis,"Ning Xu and Shi-Ze Li and Jing Liu and Gang Wei and Bin Wang (2020). A new species of the horned toad Megophrys Kuhl & Van Hasselt, 1822 (Anura, Megophryidae) from southwest China ZooKeys, 943, 119–144 https://doi.org/10.3897/zookeys.943.50343",2020,removed_duplicate_new_species_row
895,Boulenophrys chishuiensis,"Ning Xu and Shi-Ze Li and Jing Liu and Gang Wei and Bin Wang (2020). A new species of the horned toad Megophrys Kuhl & Van Hasselt, 1822 (Anura, Megophryidae) from southwest China ZooKeys, 943, 119–144 https://doi.org/10.3897/zookeys.943.50343",2020,removed_duplicate_new_species_row
