Source_row,中文名,学名,省份,引用,原搁置原因,建议裁定,置信度,裁定依据
14,白刺湍蛙,Amolops albispinus,,Jian Wang and Jing Li and Lingyun Du and Mian Hou and Guohua Yu (2022). A cryptic species of the Amolops ricke,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
15,中华湍蛙,Amolops sinensis,,Jian Wang and Jing Li and Lingyun Du and Mian Hou and Guohua Yu (2022). A cryptic species of the Amolops ricke,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
16,,Amolops tonkinensis,谅山,Jian Wang and Jing Li and Lingyun Du and Mian Hou and Guohua Yu (2022). A cryptic species of the Amolops ricke,记录类型无法判定（原表未标注且引用无线索）,C 排除-记录地为国外省区,高,省份为国外行政区
18,逸仙湍蛙,Amolops yatseni,,Jian Wang and Jing Li and Lingyun Du and Mian Hou and Guohua Yu (2022). A cryptic species of the Amolops ricke,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
25,衡山角蟾,Boulenophrys hengshanensis,湖南,"匡代勇、石胜超 (2025). 南岳衡山发现两栖动物新物种——顾莵角蟾 林业与生态, 18 https://doi.org/10.13552/j.cnki.lyyst.2025.11.002",新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
36,蒲氏睑虎,Goniurosaurus zhelongi,广东,Shuo Qi and L. Lee Grismer and Zhi-Tong Lyu and Liang Zhang and Pi-Peng Li and Ying-Yong Wang (2020). A defini,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
60,淡肩角蟾,Boulenophrys boettgeri,福建,Shi-Shi Lin and Hong-Hui Chen and Yuan-Hang Li and Zhao-Ning Peng and Zhao-Chi Zeng and Jian Wang (2024). A ne,记录类型无法判定（原表未标注且引用无线索）,待人工复核-未能在线定性,需人工,文献类型未能在线确认，建议查网盘原文（新纪录报道→事件表；调查/分类文→排除）
67,黑龙江林蛙,Rana amurensis,新疆,nan,记录类型无法判定（原表未标注且引用无线索）,待溯源-无引用信息,需人工,该行无文献引用，无法验证记录性质；请补充来源后再判定（建议查网盘合并前原始表）
68,戴云角蟾,Boulenophrys daiyunensis,福建,Shi-Shi Lin and Hong-Hui Chen and Yuan-Hang Li and Zhao-Ning Peng and Zhao-Chi Zeng and Jian Wang (2024). A ne,记录类型无法判定（原表未标注且引用无线索）,待人工复核-未能在线定性,需人工,文献类型未能在线确认，建议查网盘原文（新纪录报道→事件表；调查/分类文→排除）
70,雨神角蟾,Boulenophrys ombrophila,福建,Shi-Shi Lin and Hong-Hui Chen and Yuan-Hang Li and Zhao-Ning Peng and Zhao-Chi Zeng and Jian Wang (2024). A ne,记录类型无法判定（原表未标注且引用无线索）,待人工复核-未能在线定性,需人工,文献类型未能在线确认，建议查网盘原文（新纪录报道→事件表；调查/分类文→排除）
71,中国雨蛙,Hyla chinensis,福建,nan,记录类型无法判定（原表未标注且引用无线索）,待溯源-无引用信息,需人工,该行无文献引用，无法验证记录性质；请补充来源后再判定（建议查网盘合并前原始表）
76,三明角蟾,Boulenophrys sanmingensis,福建,Shi-Shi Lin and Hong-Hui Chen and Yuan-Hang Li and Zhao-Ning Peng and Zhao-Chi Zeng and Jian Wang (2024). A ne,记录类型无法判定（原表未标注且引用无线索）,待人工复核-未能在线定性,需人工,文献类型未能在线确认，建议查网盘原文（新纪录报道→事件表；调查/分类文→排除）
80,短肢角蟾,Boulenophrys brachykolos,福建,Shi-Shi Lin and Hong-Hui Chen and Yuan-Hang Li and Zhao-Ning Peng and Zhao-Chi Zeng and Jian Wang (2024). A ne,记录类型无法判定（原表未标注且引用无线索）,待人工复核-未能在线定性,需人工,文献类型未能在线确认，建议查网盘原文（新纪录报道→事件表；调查/分类文→排除）
82,太行隆肛蛙,Feirana taihangnicus,河南,nan,记录类型无法判定（原表未标注且引用无线索）,待溯源-无引用信息,需人工,该行无文献引用，无法验证记录性质；请补充来源后再判定（建议查网盘合并前原始表）
89,短肢角蟾,Boulenophrys brachykolos,福建,Shi-Shi Lin and Hong-Hui Chen and Yuan-Hang Li and Zhao-Ning Peng and Zhao-Chi Zeng and Jian Wang (2024). A ne,记录类型无法判定（原表未标注且引用无线索）,待人工复核-未能在线定性,需人工,文献类型未能在线确认，建议查网盘原文（新纪录报道→事件表；调查/分类文→排除）
90,雨神角蟾,Boulenophrys ombrophila,,Shi-Shi Lin and Hong-Hui Chen and Yuan-Hang Li and Zhao-Ning Peng and Zhao-Chi Zeng and Jian Wang (2024). A ne,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
95,淡肩角蟾,Boulenophrys boettgeri,福建,Shi-Shi Lin and Hong-Hui Chen and Yuan-Hang Li and Zhao-Ning Peng and Zhao-Chi Zeng and Jian Wang (2024). A ne,记录类型无法判定（原表未标注且引用无线索）,待人工复核-未能在线定性,需人工,文献类型未能在线确认，建议查网盘原文（新纪录报道→事件表；调查/分类文→排除）
96,封开角蟾,Boulenophrys acuta,,Shi-Shi Lin and Hong-Hui Chen and Yuan-Hang Li and Zhao-Ning Peng and Zhao-Chi Zeng and Jian Wang (2024). A ne,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
98,揭阳角蟾,Boulenophrys hungtai,,Shi-Shi Lin and Hong-Hui Chen and Yuan-Hang Li and Zhao-Ning Peng and Zhao-Chi Zeng and Jian Wang (2024). A ne,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
