Class_CN,New_distribution_province,events,species
两栖纲,云南,39,39
两栖纲,广西,23,23
两栖纲,广东,20,20
两栖纲,湖北,16,16
两栖纲,贵州,14,14
两栖纲,重庆,13,13
两栖纲,湖南,11,11
两栖纲,西藏,11,11
两栖纲,河南,9,9
两栖纲,江西,8,8
两栖纲,安徽,6,6
两栖纲,浙江,6,6
两栖纲,福建,6,6
两栖纲,江苏,4,4
两栖纲,甘肃,4,4
两栖纲,陕西,4,4
两栖纲,海南,3,3
两栖纲,青海,3,3
两栖纲,吉林,2,2
两栖纲,四川,2,2
两栖纲,新疆,2,2
两栖纲,辽宁,2,2
两栖纲,上海,1,1
两栖纲,内蒙古,1,1
两栖纲,宁夏,1,1
两栖纲,山东,1,1
两栖纲,澳门,1,1
爬行纲,贵州,28,28
爬行纲,云南,22,22
爬行纲,广东,17,17
爬行纲,广西,17,17
爬行纲,湖南,15,15
爬行纲,浙江,14,14
爬行纲,四川,12,12
爬行纲,湖北,10,10
爬行纲,安徽,9,9
爬行纲,河南,9,9
爬行纲,福建,9,9
爬行纲,江西,7,7
爬行纲,西藏,7,7
爬行纲,重庆,7,7
爬行纲,辽宁,6,6
爬行纲,山东,5,5
爬行纲,新疆,5,5
爬行纲,甘肃,4,4
爬行纲,陕西,4,4
爬行纲,北京,3,3
爬行纲,河北,3,3
爬行纲,海南,3,3
爬行纲,上海,2,2
爬行纲,江苏,2,2
爬行纲,内蒙古,1,1
爬行纲,天津,1,1
爬行纲,山西,1,1
爬行纲,香港,1,1
