table,species,field,value,matched_name,via
events,Quasipaa verrucospinosa,CHINA_RED_LIST,VU,Quasipaa verrucospinosa,拉丁名精确(现行名)
events,Bufo bufo,CHINA_RED_LIST,LC,Bufo bufo,拉丁名精确(现行名)
events,Quasipaa robertingeri,CHINA_RED_LIST,VU,Quasipaa robertingeri,拉丁名精确(现行名)
events,Sylvirana latouchii,CHINA_RED_LIST,LC,Sylvirana latouchii,拉丁名精确(现行名)
events,Amolops loloensis,CHINA_RED_LIST,NT,Amolops loloensis,拉丁名精确(现行名)
events,Oligodon catenatus,CHINA_RED_LIST,NT,Oligodon catenatus,拉丁名精确(现行名)
events,Rana dybowskii,CHINA_RED_LIST,NT,Rana dybowskii,拉丁名精确(现行名)
events,Lycodon ruhstrati,CHINA_RED_LIST,LC,Lycodon ruhstrati,拉丁名精确(现行名)
events,Sylvirana nigrotympanica,CHINA_RED_LIST,DD,Sylvirana nigrotympanica,拉丁名精确(现行名)
events,Quasipaa exilispinosa,CHINA_RED_LIST,VU,Quasipaa exilispinosa,拉丁名精确(现行名)
events,Pseudoxenodon karlschmidti,CHINA_RED_LIST,LC,Pseudoxenodon karlschmidti,拉丁名精确(现行名)
events,Rana huanrenensis,CHINA_RED_LIST,NT,Rana huanrenensis,拉丁名精确(现行名)
events,Elaphe porphyracea,CHINA_RED_LIST,LC,Oreocryptophis porphyraceus,中文名精确
events,Orientocoluber spinalis,CHINA_RED_LIST,LC,Orientocoluber spinalis,拉丁名精确(现行名)
events,Plestiodon chinensis,CHINA_RED_LIST,LC,Plestiodon chinensis,拉丁名精确(现行名)
events,Lycodon liuchengchaoi,CHINA_RED_LIST,LC,Lycodon liuchengchaoi,拉丁名精确(现行名)
events,Vibrissaphora boringii,CHINA_RED_LIST,EN,Vibrissaphora boringii,拉丁名精确(现行名)
events,Vibrissaphora boringii,Protection,二级,Vibrissaphora boringii,拉丁名精确(现行名)
events,Amolops torrentis,CHINA_RED_LIST,LC,Amolops torrentis,拉丁名精确(现行名)
events,Brachytarsophrys feae,CHINA_RED_LIST,NT,Brachytarsophrys feae,拉丁名精确(现行名)
events,Leptobrachium hainanense,CHINA_RED_LIST,VU,Leptobrachium hainanense,拉丁名精确(现行名)
events,Gracixalus gracilipes,CHINA_RED_LIST,NT,Gracixalus gracilipes,拉丁名精确(现行名)
events,Rana chaochiaoensis,CHINA_RED_LIST,LC,Rana chaochiaoensis,拉丁名精确(现行名)
events,Hemidactylus garnotii,CHINA_RED_LIST,LC,Hemidactylus garnotii,拉丁名精确(现行名)
events,Hemidactylus frenatus,CHINA_RED_LIST,LC,Hemidactylus frenatus,拉丁名精确(现行名)
events,Trimeresurus sichuanensis,CHINA_RED_LIST,NT,Sinovipera sichuanensis,拉丁名精确(发表名)
events,Gynandropaa yunnanensis,CHINA_RED_LIST,EN,Gynandropaa yunnanensis,拉丁名精确(现行名)
events,Calotes emma,CHINA_RED_LIST,LC,Calotes emma,拉丁名精确(现行名)
events,Dopasia harti,CHINA_RED_LIST,EN,Dopasia harti,拉丁名精确(现行名)
events,Dopasia harti,Protection,二级,Ophisaurus harti,拉丁名精确(发表名)
events,Takydromus sylvaticus,CHINA_RED_LIST,VU,Takydromus sylvaticus,拉丁名精确(现行名)
events,Pareas boulengeri,CHINA_RED_LIST,LC,Pareas boulengeri,拉丁名精确(现行名)
events,Sinomicrurus macclellandi,CHINA_RED_LIST,NT,Sinomicrurus macclellandi,拉丁名精确(现行名)
events,Plestiodon capito,CHINA_RED_LIST,LC,Plestiodon capito,拉丁名精确(现行名)
events,Pseudohynobius tsinpaensis,CHINA_RED_LIST,EN,Liua tsinpaensis,种加词词干
events,Pseudohynobius tsinpaensis,Protection,二级,Liua tsinpaensis,种加词词干
events,Scutiger ningshanensis,CHINA_RED_LIST,EN,Scutiger ningshanensis,拉丁名精确(现行名)
events,Scutiger ningshanensis,Protection,二级,Scutiger ningshanensis,拉丁名精确(现行名)
events,Rhabdophis nuchalis,CHINA_RED_LIST,LC,Rhabdophis nuchalis,拉丁名精确(现行名)
events,Lycodon ruhstrati,CHINA_RED_LIST,LC,Lycodon ruhstrati,拉丁名精确(现行名)
events,Microhyla mixtura,CHINA_RED_LIST,LC,Microhyla mixtura,拉丁名精确(现行名)
events,Ateuchosaurus chinensis,CHINA_RED_LIST,LC,Ateuchosaurus chinensis,拉丁名精确(现行名)
events,Pseudoxenodon karlschmidti,CHINA_RED_LIST,LC,Pseudoxenodon karlschmidti,拉丁名精确(现行名)
events,Polypedates mutus,CHINA_RED_LIST,LC,Polypedates mutus,拉丁名精确(现行名)
events,Nidirana daunchina,CHINA_RED_LIST,LC,Nidirana daunchina,拉丁名精确(现行名)
events,Hebius sauteri,CHINA_RED_LIST,LC,Hebius sauteri,拉丁名精确(现行名)
events,Oligodon lungshenensis,CHINA_RED_LIST,NT,Oligodon lungshenensis,拉丁名精确(现行名)
events,Pseudoxenodon stejnegeri,CHINA_RED_LIST,LC,Pseudoxenodon stejnegeri,拉丁名精确(现行名)
events,Takydromus septentrionalis,CHINA_RED_LIST,LC,Takydromus septentrionalis,拉丁名精确(现行名)
events,Odorrana graminea,CHINA_RED_LIST,LC,Odorrana graminea,拉丁名精确(现行名)
events,Hyla tsinlingensis,CHINA_RED_LIST,LC,Hyla tsinlingensis,拉丁名精确(现行名)
events,Theloderma rhododiscus,CHINA_RED_LIST,NT,Theloderma rhododiscus,拉丁名精确(现行名)
events,Paa rostandi,CHINA_RED_LIST,DD,Paa rostandi,拉丁名精确(现行名)
events,Nanorana pleskei,CHINA_RED_LIST,LC,Nanorana pleskei,拉丁名精确(现行名)
events,Zhangixalus burmanus,CHINA_RED_LIST,NT,Rhacophorus burmanus,拉丁名精确(发表名)
events,Protobothrops mucrosquamatus,CHINA_RED_LIST,LC,Protobothrops mucrosquamatus,拉丁名精确(现行名)
events,Xenophrys maosonensis,CHINA_RED_LIST,LC,Xenophrys maosonensis,拉丁名精确(现行名)
events,Ptyas dhumnades,CHINA_RED_LIST,VU,Ptyas dhumnades,拉丁名精确(现行名)
events,Chelonia mydas,CHINA_RED_LIST,CR,Chelonia mydas,拉丁名精确(现行名)
events,Chelonia mydas,Protection,一级,Chelonia mydas,拉丁名精确(现行名)
events,Plestiodon elegans,CHINA_RED_LIST,LC,Plestiodon elegans,拉丁名精确(现行名)
events,Pelophylax plancyi,CHINA_RED_LIST,NT,Pelophylax plancyi,拉丁名精确(现行名)
events,Boulenophrys tuberogranulatus,CHINA_RED_LIST,VU,Boulenophrys tuberogranulatus,拉丁名精确(现行名)
events,Kurixalus hainanus,CHINA_RED_LIST,LC,Kurixalus hainanus,拉丁名精确(现行名)
