species,IUCN_category,gbif_matched_name,gbif_match_type,query_used
Ablepharus eremchenkoi,LC,"Ablepharus eremchenkoi (Panfilov, 1999)",EXACT,Ablepharus eremchenkoi
Ablepharus sp. nov.,NE,"Ablepharus Fitzinger, 1823",HIGHERRANK,Ablepharus sp. nov.
Acanthosaura liui,NE,"Acanthosaura liui Liu, Hou, Mo & Rao, 2020",EXACT,Acanthosaura liui
Acanthosaura tongbiguanensis,NE,"Acanthosaura tongbiguanensis Liu & Rao, 2019",EXACT,Acanthosaura tongbiguanensis
Achalinus dabieshanensis,NE,"Achalinus Peters, 1869",HIGHERRANK,Achalinus dabieshanensis
Achalinus dehuaensis,LC,"Achalinus dehuaensis Li, Wu, Xu, Zhu, Ren, Guo & Dong, 2021",EXACT,Achalinus dehuaensis
Achalinus huangjietangi,LC,"Achalinus huangjietangi Huang, Peng & Huang, 2021",EXACT,Achalinus huangjietangi
Achalinus hunanensis,NE,"Achalinus hunanensis Ma, Shi, Xiang, Shu & Jiang, 2023",EXACT,Achalinus hunanensis
Achalinus juliani,NE,"Achalinus juliani Ziegler, Nguyen, Pham, Nguyen, Pham, Van Schingen, Nguyen & Le, 2019",EXACT,Achalinus juliani
Achalinus nanshanensis,NE,"Achalinus Peters, 1869",HIGHERRANK,Achalinus nanshanensis
Achalinus ningshanensis,LC,"Achalinus ningshanensis Yang, Huang, Jiang, Burbrink, Yu, Zhang, Huang & Huang, 2022",EXACT,Achalinus ningshanensis
Achalinus rufescens,LC,"Achalinus rufescens Boulenger, 1888",EXACT,Achalinus rufescens
Achalinus sheni,NE,"Achalinus Peters, 1869",HIGHERRANK,Achalinus sheni
Achalinus spinalis,LC,"Achalinus spinalis Peters, 1869",EXACT,Achalinus spinalis
Achalinus yunkaiensis,LC,"Achalinus yunkaiensis Wang, Li & Wang, 2019",EXACT,Achalinus yunkaiensis
Alcalus sp. nov.,NE,"Alcalus Brown, Siler, Richards, Diesmos & Cannatella, 2015",HIGHERRANK,Alcalus sp. nov.
Alsophylax przewalskii,LC,"Alsophylax przewalskii Strauch, 1887",EXACT,Alsophylax przewalskii
Amolops ailao,NE,Animalia,HIGHERRANK,Amolops ailao
