Class_CN,Chinese_name,Scientific_name,Protection_class,is_group,note
爬行纲,平胸龟,Platysternon megacephalum,二级,False,仅限野外种群
爬行纲,缅甸陆龟,Indotestudo elongata,一级,False,
爬行纲,凹甲陆龟,Manouria impressa,一级,False,
爬行纲,四爪陆龟,Testudo horsfieldi,一级,False,
爬行纲,欧氏摄龟,Cyclemys oldhamii,二级,False,
爬行纲,黑颈乌龟,Mauremys nigricans,二级,False,仅限野外种群
爬行纲,草龟,Mauremys reevesii,二级,False,仅限野外种群
爬行纲,花龟,Mauremys sinensis,二级,False,仅限野外种群
爬行纲,黄喉拟水龟,Mauremys mutica,二级,False,仅限野外种群
爬行纲,闭壳龟属,Cuora,二级,True,仅限野外种群
爬行纲,地龟,Geoemyda spengleri,二级,False,
爬行纲,眼斑水龟,Sacalia bealei,二级,False,仅限野外种群
爬行纲,四眼斑水龟,Sacalia quadriocellata,二级,False,仅限野外种群
爬行纲,红海龟,Caretta caretta,一级,False,原名“蠵龟”
爬行纲,绿海龟,Chelonia mydas,一级,False,
爬行纲,玳瑁,Eretmochelys imbricata,一级,False,
爬行纲,太平洋丽龟,Lepidochelys olivacea,一级,False,
爬行纲,棱皮龟,Dermochelys coriacea,一级,False,
爬行纲,鼋,Pelochelys cantorii,一级,False,
爬行纲,山瑞鳖,Trionyx steindachneri,二级,False,仅限野外种群
爬行纲,斑鳖,Rafetus swinhoei,一级,False,
爬行纲,大壁虎,Gekko gecko,二级,False,
爬行纲,黑疣大壁虎,Gekko reevesii,二级,False,
爬行纲,伊犁沙虎,Teratoscincus scincus,二级,False,
爬行纲,吐鲁番沙虎,Teratoscincus roborowskii,二级,False,
爬行纲,英德睑虎,Goniurosaurus yingdeensis,二级,False,
爬行纲,越南睑虎,Goniurosaurus araneus,二级,False,
爬行纲,霸王岭睑虎,Goniurosaurus bawanglingensis,二级,False,
爬行纲,海南睑虎,Goniurosaurus hainanensis,二级,False,
爬行纲,嘉道理睑虎,Goniurosaurus kadoorieorum,二级,False,
爬行纲,广西睑虎,Goniurosaurus kwangsiensis,二级,False,
爬行纲,荔波睑虎,Goniurosaurus liboensis,二级,False,
爬行纲,凭祥睑虎,Goniurosaurus luii,二级,False,
爬行纲,蒲氏睑虎,Goniurosaurus zhelongi,二级,False,
爬行纲,周氏睑虎,Goniurosaurus zhoui,二级,False,
爬行纲,巴塘龙蜥,Diploderma batangense,二级,False,
爬行纲,短尾龙蜥,Diploderma brevicaudum,二级,False,
爬行纲,侏龙蜥,Diploderma drukdaypo,二级,False,
爬行纲,滑腹龙蜥,Diploderma laeviventre,二级,False,
爬行纲,宜兰龙蜥,Diploderma luei,二级,False,
爬行纲,溪头龙蜥,Diploderma makii,二级,False,
爬行纲,帆背龙蜥,Diploderma vela,二级,False,
爬行纲,蜡皮蜥,Leiolepis reevesii,二级,False,
爬行纲,贵南沙蜥,Phrynocephalus guinanensis,二级,False,
爬行纲,大耳沙蜥,Phrynocephalus mystaceus,一级,False,
爬行纲,长鬣蜥,Phrynocephalus cocincinus,二级,False,
爬行纲,细脆蛇蜥,Ophisaurus gracilis,二级,False,
爬行纲,海南脆蛇蜥,Ophisaurus hainanensis,二级,False,
爬行纲,脆蛇蜥,Ophisaurus harti,二级,False,
爬行纲,鳄蜥,Shinisaurus crocodilurus,一级,False,
爬行纲,孟加拉巨蜥,Varanus bengalensis,一级,False,
爬行纲,圆鼻巨蜥,Varanus salvator,一级,False,原名“巨蜥”
爬行纲,桓仁滑蜥,Scincella huanrenensis,二级,False,
爬行纲,香港双足蜥,Dibamus bogadeki,二级,False,
爬行纲,香港盲蛇,Indotyphlops lazelli,二级,False,
爬行纲,红尾筒蛇,Cylindrophis ruffus,二级,False,
爬行纲,闪鳞蛇,Xenopeltis unicolor,二级,False,
爬行纲,红沙蟒,Eryx miliaris,二级,False,
爬行纲,东方沙蟒,Eryx tataricus,二级,False,
爬行纲,蟒蛇,Python bivittatus,二级,False,原名“蟒”
爬行纲,井冈山脊蛇,Achalinus jinggangensis,二级,False,
爬行纲,三索蛇,Coelognathus radiatus,二级,False,
爬行纲,团花锦蛇,Elaphe davidi,二级,False,
爬行纲,横斑锦蛇,Euprepiophis perlaceus,二级,False,
爬行纲,尖喙蛇,Rhynchophis boulengeri,二级,False,
爬行纲,西藏温泉蛇,Thermophis baileyi,一级,False,
爬行纲,香格里拉温泉蛇,Thermophis shangrila,一级,False,
爬行纲,四川温泉蛇,Thermophis zhaoermii,一级,False,
爬行纲,黑网乌梢蛇,Zaocys carinatus,二级,False,
爬行纲,瘰鳞蛇,Acrochordus granulatus,二级,False,
爬行纲,眼镜王蛇,Ophiophagus hannah,二级,False,
爬行纲,蓝灰扁尾海蛇,Laticauda colubrina,二级,False,
爬行纲,扁尾海蛇,Laticauda laticaudata,二级,False,
爬行纲,半环扁尾海蛇,Laticauda semifasciata,二级,False,
爬行纲,龟头海蛇,Emydocephalus ijimae,二级,False,
爬行纲,青环海蛇,Hydrophis cyanocinctus,二级,False,
爬行纲,环纹海蛇,Hydrophis fasciatus,二级,False,
爬行纲,黑头海蛇,Hydrophis melanocephalus,二级,False,
爬行纲,淡灰海蛇,Hydrophis ornatus,二级,False,
爬行纲,棘眦海蛇,Hydrophis peronii,二级,False,
爬行纲,棘鳞海蛇,Hydrophis stokesii,二级,False,
爬行纲,青灰海蛇,Hydrophis caerulescens,二级,False,
爬行纲,平颏海蛇,Hydrophis curtus,二级,False,
爬行纲,小头海蛇,Hydrophis gracilis,二级,False,
爬行纲,长吻海蛇,Hydrophis platurus,二级,False,
爬行纲,截吻海蛇,Hydrophis jerdonii,二级,False,
爬行纲,海蝰,Hydrophis viperinus,二级,False,
爬行纲,泰国圆斑蝰,Daboia siamensis,二级,False,
爬行纲,蛇岛蝮,Gloydius shedaoensis,二级,False,
爬行纲,角原矛头蝮,Protobothrops cornutus,二级,False,
爬行纲,莽山烙铁头蛇,Protobothrops mangshanensis,一级,False,
爬行纲,极北蝰,Vipera berus,二级,False,
爬行纲,东方蝰,Vipera renardi,二级,False,
爬行纲,扬子鳄,Alligator sinensis,一级,False,
两栖纲,版纳鱼螈,Ichthyophis bannaicus,二级,False,
两栖纲,安吉小鲵,Hynobius amjiensis,一级,False,
两栖纲,中国小鲵,Hynobius chinensis,一级,False,
两栖纲,挂榜山小鲵,Hynobius guabangshanensis,一级,False,
两栖纲,猫儿山小鲵,Hynobius maoershanensis,一级,False,
两栖纲,普雄原鲵,Hynobius puxiongensis,一级,False,
两栖纲,辽宁爪鲵,Onychodactylus zhaoermii,一级,False,
两栖纲,吉林爪鲵,Onychodactylus zhangyapingi,二级,False,
两栖纲,新疆北鲵,Ranodon sibiricus,二级,False,
两栖纲,极北鲵,Salamandrella keyserlingii,二级,False,
两栖纲,巫山巴鲵,Liua shihi,二级,False,
两栖纲,秦巴巴鲵,Liua tsinpaensis,二级,False,
两栖纲,黄斑拟小鲵,Pseudohynobius flavomaculatus,二级,False,
两栖纲,贵州拟小鲵,Pseudohynobius guizhouensis,二级,False,
两栖纲,金佛拟小鲵,Pseudohynobius jinfo,二级,False,
两栖纲,宽阔水拟小鲵,Pseudohynobius kuankuoshuiensis,二级,False,
两栖纲,水城拟小鲵,Pseudohynobius shuichengensis,二级,False,
两栖纲,弱唇褶山溪鲵,Batrachuperus cochranae,二级,False,
两栖纲,无斑山溪鲵,Batrachuperus karlschmidti,二级,False,
两栖纲,龙洞山溪鲵,Batrachuperus londongensis,二级,False,
两栖纲,山溪鲵,Batrachuperus pinchonii,二级,False,
两栖纲,西藏山溪鲵,Batrachuperus tibetanus,二级,False,
两栖纲,盐源山溪鲵,Batrachuperus yenyuanensis,二级,False,
两栖纲,阿里山小鲵,Hynobius arisanensis,二级,False,
两栖纲,台湾小鲵,Hynobius formosanus,二级,False,
两栖纲,观雾小鲵,Hynobius fucus,二级,False,
